Submission,Solution Name/Number,Step 1,Step 2,Step 3,Step 4,Total Marks,Problem,Step 5,Step 6,Step 7,Step 8,Step 9,Step 10,Step 11,Step 12
Wrong,2.0,1.0,1.0,1.0,0.0,3/4,Longest Common Substring,,,,,,,,
Compilation_Error,2.0,1.0,1.0,1.0,1.0,5/5,Longest Subarray with Sum K,1.0,,,,,,,
Correct_1,2.0,1.0,1.0,1.0,1.0,5/5,Longest Subarray with Sum K,1.0,,,,,,,
Correct_2,2.0,1.0,1.0,1.0,1.0,5/5,Longest Subarray with Sum K,1.0,,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,5/5,Longest Subarray with Sum K,1.0,,,,,,,
TLE,1.0,1.0,1.0,1.0,1.0,4/4,Longest Subarray with Sum K,,,,,,,,
Wrong,1.0,1.0,1.0,1.0,1.0,4/4,Longest Subarray with Sum K,,,,,,,,
Compilation_Error,3.0,0.0,1.0,1.0,1.0,3/4,Maximum Subarray Sum,,,,,,,,
Correct_1,3.0,1.0,1.0,1.0,1.0,4/4,Maximum Subarray Sum,,,,,,,,
Correct_2,3.0,1.0,1.0,1.0,1.0,4/4,Maximum Subarray Sum,,,,,,,,
Correct_3,3.0,1.0,1.0,1.0,1.0,4/4,Maximum Subarray Sum,,,,,,,,
TLE,1.0,1.0,1.0,1.0,1.0,4/4,Maximum Subarray Sum,,,,,,,,
Wrong,3.0,0.0,1.0,1.0,1.0,3/4,Maximum Subarray Sum,,,,,,,,
Compilation_Error,1.0,0.0,0.0,0.0,0.0,0/4,Maximum Weight Node,,,,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,4/4,Maximum Weight Node,,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,4/4,Maximum Weight Node,,,,,,,,
Correct_3,1.0,1.0,1.0,1.0,1.0,4/4,Maximum Weight Node,,,,,,,,
TLE,1.0,1.0,1.0,1.0,0.0,3/4,Maximum Weight Node,,,,,,,,
Wrong,3.0,1.0,0.0,1.0,1.0,3/4,Maximum Weight Node,,,,,,,,
Compilation_Error,1.0,1.0,0.0,1.0,1.0,3/4,Median of 2 Sorted Arrays,,,,,,,,
Correct_1,2.0,1.0,0.0,0.0,1.0,3/5,Median of 2 Sorted Arrays,1.0,,,,,,,
Correct_2,2.0,1.0,0.0,0.0,1.0,3/5,Median of 2 Sorted Arrays,1.0,,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,5/5,Median of 2 Sorted Arrays,1.0,,,,,,,
TLE,1.0,1.0,1.0,1.0,1.0,4/4,Median of 2 Sorted Arrays,,,,,,,,
Wrong,1.0,1.0,1.0,1.0,1.0,4/4,Median of 2 Sorted Arrays,,,,,,,,
Compilation_Error,1.0,0.0,0.0,0.0,0.0,0/7,Minimum Cost Path,0.0,0.0,0.0,,,,,
Correct_1,1.0,1.0,1.0,1.0,1.0,7/7,Minimum Cost Path,1.0,1.0,1.0,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,7/7,Minimum Cost Path,1.0,1.0,1.0,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,7/7,Minimum Cost Path,1.0,1.0,1.0,,,,,
TLE,1.0,1.0,1.0,1.0,1.0,7/7,Minimum Cost Path,1.0,1.0,1.0,,,,,
Wrong,2.0,0.0,0.0,0.0,1.0,2/7,Minimum Cost Path,0.0,1.0,0.0,,,,,
Compilation_Error,2.0,1.0,1.0,1.0,1.0,11/12,Minimum Distance between two given nodes of a Bina,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Correct_1,1.0,1.0,1.0,1.0,1.0,11/12,Minimum Distance between two given nodes of a Bina,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Correct_2,2.0,1.0,1.0,1.0,1.0,12/12,Minimum Distance between two given nodes of a Bina,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Correct_3,1.0,1.0,1.0,1.0,1.0,12/12,Minimum Distance between two given nodes of a Bina,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
TLE,2.0,0.0,0.0,0.0,0.0,0/12,Minimum Distance between two given nodes of a Bina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wrong,3.0,0.0,1.0,1.0,1.0,8/11,Minimum Distance between two given nodes of a Bina,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
Compilation_Error,1.0,1.0,0.0,1.0,0.0,2/4,Missing in Array,,,,,,,,
Correct_1,2.0,1.0,1.0,1.0,1.0,4/4,Missing in Array,,,,,,,,
Correct_2,4.0,1.0,0.0,1.0,,2/4,Missing in Array,,,,,,,,
Correct_3,1.0,1.0,1.0,1.0,1.0,4/4,Missing in Array,,,,,,,,
TLE,,,,,,,Missing in Array,,,,,,,,
Wrong,4.0,1.0,0.0,1.0,,2/4,Missing in Array,,,,,,,,
Compilation_Error,2.0,1.0,1.0,1.0,1.0,6/6,Non Repeating Numbers,1.0,1.0,,,,,,
Correct_1,2.0,1.0,1.0,1.0,1.0,6/6,Non Repeating Numbers,1.0,1.0,,,,,,
Correct_2,2.0,1.0,1.0,1.0,1.0,6/6,Non Repeating Numbers,1.0,1.0,,,,,,
Correct_3,2.0,1.0,1.0,1.0,1.0,6/6,Non Repeating Numbers,1.0,1.0,,,,,,
TLE,3.0,1.0,1.0,1.0,1.0,4/4,Non Repeating Numbers,,,,,,,,
Wrong,2.0,1.0,1.0,0.0,0.0,3/6,Non Repeating Numbers,0.0,1.0,,,,,,
Compilation_Error,1.0,1.0,2.0,1.0,,4/4,Nth Fibonacci Number,,,,,,,,
Correct_1,1.0,1.0,2.0,1.0,,4/4,Nth Fibonacci Number,,,,,,,,
Correct_2,1.0,1.0,2.0,1.0,,4/4,Nth Fibonacci Number,,,,,,,,
Correct_3,1.0,1.0,2.0,1.0,,4/4,Nth Fibonacci Number,,,,,,,,
TLE,1.0,0.0,2.0,1.0,,3/4,Nth Fibonacci Number,,,,,,,,
Wrong,1.0,0.0,2.0,1.0,,3/4,Nth Fibonacci Number,,,,,,,,
Compilation_Error,3.0,1.0,1.0,1.0,0.0,3/4,Palindrom Linked List,,,,,,,,
Correct_1,3.0,1.0,1.0,1.0,0.0,3/4,Palindrom Linked List,,,,,,,,
Correct_2,3.0,1.0,1.0,1.0,0.0,3/4,Palindrom Linked List,,,,,,,,
Correct_3,3.0,1.0,1.0,1.0,1.0,4/4,Palindrom Linked List,,,,,,,,
TLE,3.0,1.0,1.0,1.0,1.0,4/4,Palindrom Linked List,,,,,,,,
Wrong,3.0,1.0,1.0,1.0,0.0,3/4,Palindrom Linked List,,,,,,,,
Compilation_Error,2.0,1.0,1.0,1.0,1.0,4/5,Remove Consonants from a String,0.0,,,,,,,
Correct_1,2.0,1.0,1.0,1.0,1.0,5/5,Remove Consonants from a String,1.0,,,,,,,
Correct_2,1.0,1.0,1.0,1.0,1.0,5/5,Remove Consonants from a String,1.0,,,,,,,
Correct_3,3.0,1.0,1.0,1.0,1.0,6/6,Remove Consonants from a String,1.0,1.0,,,,,,
TLE,2.0,1.0,1.0,1.0,1.0,5/5,Remove Consonants from a String,1.0,,,,,,,
Wrong,2.0,1.0,1.0,1.0,1.0,4/5,Remove Consonants from a String,0.0,,,,,,,
Compilation_Error,1.0,1.0,0.0,1.0,,4/4,Reverse a Linked List,,,,,,,,
Correct_1,2.0,1.0,1.0,1.0,1.0,4/4,Reverse a Linked List,,,,,,,,
Correct_2,1.0,1.0,2.0,1.0,,4/4,Reverse a Linked List,,,,,,,,
Correct_3,1.0,1.0,2.0,1.0,,4/4,Reverse a Linked List,,,,,,,,
TLE,1.0,1.0,2.0,1.0,,4/4,Reverse a Linked List,,,,,,,,
Wrong,1.0,1.0,2.0,1.0,,4/4,Reverse a Linked List,,,,,,,,
Compilation_Error,1.0,1.0,1.0,2.0,1.0,8/9,Subset Sum Problem,1.0,1.0,1.0,1.0,,,,
Correct_1,3.0,1.0,1.0,0.0,1.0,9/10,Subset Sum Problem,1.0,2.0,2.0,1.0,,,,
Correct_2,3.0,0.0,1.0,0.0,1.0,7/10,Subset Sum Problem,1.0,1.0,1.0,0.0,,,,
Correct_3,3.0,1.0,1.0,1.0,1.0,10/10,Subset Sum Problem,1.0,2.0,2.0,1.0,,,,
TLE,2.0,1.0,1.0,1.0,1.0,9/9,Subset Sum Problem,1.0,2.0,1.0,1.0,,,,
Wrong,2.0,0.0,0.0,1.0,1.0,6/9,Subset Sum Problem,0.0,2.0,1.0,1.0,,,,
Compilation_Error,1.0,1.0,1.0,1.0,2.0,10/10,Trapping Rain Water,1.0,1.0,1.0,1.0,1.0,,,
Correct_1,1.0,1.0,1.0,1.0,2.0,9/10,Trapping Rain Water,1.0,1.0,0.0,1.0,1.0,,,
Correct_2,1.0,0.0,1.0,1.0,2.0,8/10,Trapping Rain Water,1.0,1.0,0.0,1.0,1.0,,,
Correct_3,1.0,0.0,1.0,1.0,2.0,7/10,Trapping Rain Water,0.0,1.0,0.0,1.0,1.0,,,
TLE,1.0,1.0,1.0,1.0,2.0,8/10,Trapping Rain Water,0.0,1.0,1.0,0.0,1.0,,,
Wrong,2.0,0.0,0.0,1.0,1.0,5/10,Trapping Rain Water,0.0,0.0,1.0,1.0,1.0,,,
